month_of_delay,datetime,hbt,hbtqf,age_group,age_group_qf,reason_for_delay,reason_for_delay_qf,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
201905,2019-05-01,S08000015,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201905,2019-05-01,S08000016,NA,18plus,d,All Delay Reasons,d,967,31
201905,2019-05-01,S08000016,NA,18plus,d,Code 9 Reasons,NA,108,3
201905,2019-05-01,S08000016,NA,18plus,d,Health and Social Care Reasons,NA,742,24
201905,2019-05-01,S08000016,NA,18plus,d,Patient and Family Related Reasons,NA,117,4
201905,2019-05-01,S08000016,NA,18-74,NA,All Delay Reasons,d,265,9
201905,2019-05-01,S08000016,NA,18-74,NA,Code 9 Reasons,NA,31,1
201905,2019-05-01,S08000016,NA,18-74,NA,Health and Social Care Reasons,NA,194,6
201905,2019-05-01,S08000016,NA,18-74,NA,Patient and Family Related Reasons,NA,40,1
201905,2019-05-01,S08000016,NA,75plus,NA,All Delay Reasons,d,702,23
201905,2019-05-01,S08000016,NA,75plus,NA,Code 9 Reasons,NA,77,2
201905,2019-05-01,S08000016,NA,75plus,NA,Health and Social Care Reasons,NA,548,18
201905,2019-05-01,S08000016,NA,75plus,NA,Patient and Family Related Reasons,NA,77,2
201905,2019-05-01,S08000017,NA,18plus,d,All Delay Reasons,d,1716,55
201905,2019-05-01,S08000017,NA,18plus,d,Code 9 Reasons,NA,190,6
201905,2019-05-01,S08000017,NA,18plus,d,Health and Social Care Reasons,NA,1500,48
201905,2019-05-01,S08000017,NA,18plus,d,Patient and Family Related Reasons,NA,26,1
201905,2019-05-01,S08000017,NA,18-74,NA,All Delay Reasons,d,489,16
201905,2019-05-01,S08000017,NA,18-74,NA,Code 9 Reasons,NA,108,3
201905,2019-05-01,S08000017,NA,18-74,NA,Health and Social Care Reasons,NA,381,12
201905,2019-05-01,S08000017,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201905,2019-05-01,S08000017,NA,75plus,NA,All Delay Reasons,d,1227,40
201905,2019-05-01,S08000017,NA,75plus,NA,Code 9 Reasons,NA,82,3
201905,2019-05-01,S08000017,NA,75plus,NA,Health and Social Care Reasons,NA,1119,36
201905,2019-05-01,S08000017,NA,75plus,NA,Patient and Family Related Reasons,NA,26,1
201905,2019-05-01,S08000019,NA,18plus,d,All Delay Reasons,d,2671,86
201905,2019-05-01,S08000019,NA,18plus,d,Code 9 Reasons,NA,785,25
201905,2019-05-01,S08000019,NA,18plus,d,Health and Social Care Reasons,NA,1823,59
201905,2019-05-01,S08000019,NA,18plus,d,Patient and Family Related Reasons,NA,63,2
201905,2019-05-01,S08000019,NA,18-74,NA,All Delay Reasons,d,768,25
201905,2019-05-01,S08000019,NA,18-74,NA,Code 9 Reasons,NA,334,11
201905,2019-05-01,S08000019,NA,18-74,NA,Health and Social Care Reasons,NA,403,13
201905,2019-05-01,S08000019,NA,18-74,NA,Patient and Family Related Reasons,NA,31,1
201905,2019-05-01,S08000019,NA,75plus,NA,All Delay Reasons,d,1903,61
201905,2019-05-01,S08000019,NA,75plus,NA,Code 9 Reasons,NA,451,15
201905,2019-05-01,S08000019,NA,75plus,NA,Health and Social Care Reasons,NA,1420,46
201905,2019-05-01,S08000019,NA,75plus,NA,Patient and Family Related Reasons,NA,32,1
201905,2019-05-01,S08000020,NA,18plus,d,All Delay Reasons,d,3541,114
201905,2019-05-01,S08000020,NA,18plus,d,Code 9 Reasons,NA,409,13
201905,2019-05-01,S08000020,NA,18plus,d,Health and Social Care Reasons,NA,3014,97
201905,2019-05-01,S08000020,NA,18plus,d,Patient and Family Related Reasons,NA,118,4
201905,2019-05-01,S08000020,NA,18-74,NA,All Delay Reasons,d,940,30
201905,2019-05-01,S08000020,NA,18-74,NA,Code 9 Reasons,NA,244,8
201905,2019-05-01,S08000020,NA,18-74,NA,Health and Social Care Reasons,NA,665,21
201905,2019-05-01,S08000020,NA,18-74,NA,Patient and Family Related Reasons,NA,31,1
201905,2019-05-01,S08000020,NA,75plus,NA,All Delay Reasons,d,2601,84
201905,2019-05-01,S08000020,NA,75plus,NA,Code 9 Reasons,NA,165,5
201905,2019-05-01,S08000020,NA,75plus,NA,Health and Social Care Reasons,NA,2349,76
201905,2019-05-01,S08000020,NA,75plus,NA,Patient and Family Related Reasons,NA,87,3
201905,2019-05-01,S08000022,NA,18plus,d,All Delay Reasons,d,4217,136
201905,2019-05-01,S08000022,NA,18plus,d,Code 9 Reasons,NA,923,30
201905,2019-05-01,S08000022,NA,18plus,d,Health and Social Care Reasons,NA,3206,103
201905,2019-05-01,S08000022,NA,18plus,d,Patient and Family Related Reasons,NA,88,3
201905,2019-05-01,S08000022,NA,18-74,NA,All Delay Reasons,d,1226,40
201905,2019-05-01,S08000022,NA,18-74,NA,Code 9 Reasons,NA,395,13
201905,2019-05-01,S08000022,NA,18-74,NA,Health and Social Care Reasons,NA,823,27
201905,2019-05-01,S08000022,NA,18-74,NA,Patient and Family Related Reasons,NA,8,0
201905,2019-05-01,S08000022,NA,75plus,NA,All Delay Reasons,d,2991,96
201905,2019-05-01,S08000022,NA,75plus,NA,Code 9 Reasons,NA,528,17
201905,2019-05-01,S08000022,NA,75plus,NA,Health and Social Care Reasons,NA,2383,77
201905,2019-05-01,S08000022,NA,75plus,NA,Patient and Family Related Reasons,NA,80,3
201905,2019-05-01,S08000024,NA,18plus,d,All Delay Reasons,d,8503,274
201905,2019-05-01,S08000024,NA,18plus,d,Code 9 Reasons,NA,1108,36
201905,2019-05-01,S08000024,NA,18plus,d,Health and Social Care Reasons,NA,7041,227
201905,2019-05-01,S08000024,NA,18plus,d,Patient and Family Related Reasons,NA,354,11
201905,2019-05-01,S08000024,NA,18-74,NA,All Delay Reasons,d,2866,92
201905,2019-05-01,S08000024,NA,18-74,NA,Code 9 Reasons,NA,475,15
201905,2019-05-01,S08000024,NA,18-74,NA,Health and Social Care Reasons,NA,2221,72
201905,2019-05-01,S08000024,NA,18-74,NA,Patient and Family Related Reasons,NA,170,5
201905,2019-05-01,S08000024,NA,75plus,NA,All Delay Reasons,d,5637,182
201905,2019-05-01,S08000024,NA,75plus,NA,Code 9 Reasons,NA,633,20
201905,2019-05-01,S08000024,NA,75plus,NA,Health and Social Care Reasons,NA,4820,155
201905,2019-05-01,S08000024,NA,75plus,NA,Patient and Family Related Reasons,NA,184,6
201905,2019-05-01,S08000025,NA,18plus,d,All Delay Reasons,d,46,1
201905,2019-05-01,S08000025,NA,18plus,d,Code 9 Reasons,NA,0,0
201905,2019-05-01,S08000025,NA,18plus,d,Health and Social Care Reasons,NA,46,1
201905,2019-05-01,S08000025,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201905,2019-05-01,S08000025,NA,18-74,NA,All Delay Reasons,d,7,0
201905,2019-05-01,S08000025,NA,18-74,NA,Code 9 Reasons,NA,0,0
201905,2019-05-01,S08000025,NA,18-74,NA,Health and Social Care Reasons,NA,7,0
201905,2019-05-01,S08000025,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201905,2019-05-01,S08000025,NA,75plus,NA,All Delay Reasons,d,39,1
201905,2019-05-01,S08000025,NA,75plus,NA,Code 9 Reasons,NA,0,0
201905,2019-05-01,S08000025,NA,75plus,NA,Health and Social Care Reasons,NA,39,1
201905,2019-05-01,S08000025,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201905,2019-05-01,S08000026,NA,18plus,d,All Delay Reasons,d,151,5
201905,2019-05-01,S08000026,NA,18plus,d,Code 9 Reasons,NA,0,0
201905,2019-05-01,S08000026,NA,18plus,d,Health and Social Care Reasons,NA,129,4
201905,2019-05-01,S08000026,NA,18plus,d,Patient and Family Related Reasons,NA,22,1
201905,2019-05-01,S08000026,NA,18-74,NA,All Delay Reasons,d,33,1
201905,2019-05-01,S08000026,NA,18-74,NA,Code 9 Reasons,NA,0,0
201905,2019-05-01,S08000026,NA,18-74,NA,Health and Social Care Reasons,NA,33,1
201905,2019-05-01,S08000026,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201905,2019-05-01,S08000026,NA,75plus,NA,All Delay Reasons,d,118,4
201905,2019-05-01,S08000026,NA,75plus,NA,Code 9 Reasons,NA,0,0
201905,2019-05-01,S08000026,NA,75plus,NA,Health and Social Care Reasons,NA,96,3
201905,2019-05-01,S08000026,NA,75plus,NA,Patient and Family Related Reasons,NA,22,1
201905,2019-05-01,S08000028,NA,18plus,d,All Delay Reasons,d,577,19
201905,2019-05-01,S08000028,NA,18plus,d,Code 9 Reasons,NA,408,13
201905,2019-05-01,S08000028,NA,18plus,d,Health and Social Care Reasons,NA,162,5
201905,2019-05-01,S08000028,NA,18plus,d,Patient and Family Related Reasons,NA,7,0
201905,2019-05-01,S08000028,NA,18-74,NA,All Delay Reasons,d,85,3
201905,2019-05-01,S08000028,NA,18-74,NA,Code 9 Reasons,NA,62,2
201905,2019-05-01,S08000028,NA,18-74,NA,Health and Social Care Reasons,NA,16,1
201905,2019-05-01,S08000028,NA,18-74,NA,Patient and Family Related Reasons,NA,7,0
201905,2019-05-01,S08000028,NA,75plus,NA,All Delay Reasons,d,492,16
201905,2019-05-01,S08000028,NA,75plus,NA,Code 9 Reasons,NA,346,11
201905,2019-05-01,S08000028,NA,75plus,NA,Health and Social Care Reasons,NA,146,5
201905,2019-05-01,S08000028,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201905,2019-05-01,S08000029,NA,18plus,d,All Delay Reasons,d,3285,106
201905,2019-05-01,S08000029,NA,18plus,d,Code 9 Reasons,NA,728,23
201905,2019-05-01,S08000029,NA,18plus,d,Health and Social Care Reasons,NA,2504,81
201905,2019-05-01,S08000029,NA,18plus,d,Patient and Family Related Reasons,NA,53,2
201905,2019-05-01,S08000029,NA,18-74,NA,All Delay Reasons,d,1438,46
201905,2019-05-01,S08000029,NA,18-74,NA,Code 9 Reasons,NA,345,11
201905,2019-05-01,S08000029,NA,18-74,NA,Health and Social Care Reasons,NA,1046,34
201905,2019-05-01,S08000029,NA,18-74,NA,Patient and Family Related Reasons,NA,47,2
201905,2019-05-01,S08000029,NA,75plus,NA,All Delay Reasons,d,1847,60
201905,2019-05-01,S08000029,NA,75plus,NA,Code 9 Reasons,NA,383,12
201905,2019-05-01,S08000029,NA,75plus,NA,Health and Social Care Reasons,NA,1458,47
201905,2019-05-01,S08000029,NA,75plus,NA,Patient and Family Related Reasons,NA,6,0
201905,2019-05-01,S08000030,NA,18plus,d,All Delay Reasons,d,2496,81
201905,2019-05-01,S08000030,NA,18plus,d,Code 9 Reasons,NA,765,25
201905,2019-05-01,S08000030,NA,18plus,d,Health and Social Care Reasons,NA,1696,55
201905,2019-05-01,S08000030,NA,18plus,d,Patient and Family Related Reasons,NA,35,1
201905,2019-05-01,S08000030,NA,18-74,NA,All Delay Reasons,d,1056,34
201905,2019-05-01,S08000030,NA,18-74,NA,Code 9 Reasons,NA,602,19
201905,2019-05-01,S08000030,NA,18-74,NA,Health and Social Care Reasons,NA,453,15
201905,2019-05-01,S08000030,NA,18-74,NA,Patient and Family Related Reasons,NA,1,0
201905,2019-05-01,S08000030,NA,75plus,NA,All Delay Reasons,d,1440,46
201905,2019-05-01,S08000030,NA,75plus,NA,Code 9 Reasons,NA,163,5
201905,2019-05-01,S08000030,NA,75plus,NA,Health and Social Care Reasons,NA,1243,40
201905,2019-05-01,S08000030,NA,75plus,NA,Patient and Family Related Reasons,NA,34,1
201905,2019-05-01,S08000031,NA,18plus,d,All Delay Reasons,d,6305,203
201905,2019-05-01,S08000031,NA,18plus,d,Code 9 Reasons,NA,1425,46
201905,2019-05-01,S08000031,NA,18plus,d,Health and Social Care Reasons,NA,4527,146
201905,2019-05-01,S08000031,NA,18plus,d,Patient and Family Related Reasons,NA,353,11
201905,2019-05-01,S08000031,NA,18-74,NA,All Delay Reasons,d,2827,91
201905,2019-05-01,S08000031,NA,18-74,NA,Code 9 Reasons,NA,908,29
201905,2019-05-01,S08000031,NA,18-74,NA,Health and Social Care Reasons,NA,1732,56
201905,2019-05-01,S08000031,NA,18-74,NA,Patient and Family Related Reasons,NA,187,6
201905,2019-05-01,S08000031,NA,75plus,NA,All Delay Reasons,d,3478,112
201905,2019-05-01,S08000031,NA,75plus,NA,Code 9 Reasons,NA,517,17
201905,2019-05-01,S08000031,NA,75plus,NA,Health and Social Care Reasons,NA,2795,90
201905,2019-05-01,S08000031,NA,75plus,NA,Patient and Family Related Reasons,NA,166,5
201905,2019-05-01,S08000032,NA,18plus,d,All Delay Reasons,d,6437,208
201905,2019-05-01,S08000032,NA,18plus,d,Code 9 Reasons,NA,1079,35
201905,2019-05-01,S08000032,NA,18plus,d,Health and Social Care Reasons,NA,5260,170
201905,2019-05-01,S08000032,NA,18plus,d,Patient and Family Related Reasons,NA,98,3
201905,2019-05-01,S08000032,NA,18-74,NA,All Delay Reasons,d,2238,72
201905,2019-05-01,S08000032,NA,18-74,NA,Code 9 Reasons,NA,554,18
201905,2019-05-01,S08000032,NA,18-74,NA,Health and Social Care Reasons,NA,1681,54
201905,2019-05-01,S08000032,NA,18-74,NA,Patient and Family Related Reasons,NA,3,0
201905,2019-05-01,S08000032,NA,75plus,NA,All Delay Reasons,d,4199,135
201905,2019-05-01,S08000032,NA,75plus,NA,Code 9 Reasons,NA,525,17
201905,2019-05-01,S08000032,NA,75plus,NA,Health and Social Care Reasons,NA,3579,115
201905,2019-05-01,S08000032,NA,75plus,NA,Patient and Family Related Reasons,NA,95,3
201905,2019-05-01,S92000003,d,18plus,d,All Delay Reasons,d,45061,1454
201905,2019-05-01,S92000003,d,18plus,d,Code 9 Reasons,NA,8417,272
201905,2019-05-01,S92000003,d,18plus,d,Health and Social Care Reasons,NA,35310,1139
201905,2019-05-01,S92000003,d,18plus,d,Patient and Family Related Reasons,NA,1334,43
201905,2019-05-01,S92000003,d,18-74,NA,All Delay Reasons,d,15199,490
201905,2019-05-01,S92000003,d,18-74,NA,Code 9 Reasons,NA,4243,137
201905,2019-05-01,S92000003,d,18-74,NA,Health and Social Care Reasons,NA,10431,336
201905,2019-05-01,S92000003,d,18-74,NA,Patient and Family Related Reasons,NA,525,17
201905,2019-05-01,S92000003,d,75plus,NA,All Delay Reasons,d,29862,963
201905,2019-05-01,S92000003,d,75plus,NA,Code 9 Reasons,NA,4174,135
201905,2019-05-01,S92000003,d,75plus,NA,Health and Social Care Reasons,NA,24879,803
201905,2019-05-01,S92000003,d,75plus,NA,Patient and Family Related Reasons,NA,809,26
201906,2019-06-01,S08000015,NA,18plus,d,All Delay Reasons,d,4217,141
201906,2019-06-01,S08000015,NA,18plus,d,Code 9 Reasons,NA,567,19
201906,2019-06-01,S08000015,NA,18plus,d,Health and Social Care Reasons,NA,3642,121
201906,2019-06-01,S08000015,NA,18plus,d,Patient and Family Related Reasons,NA,8,0
201906,2019-06-01,S08000015,NA,18-74,NA,All Delay Reasons,d,842,28
201906,2019-06-01,S08000015,NA,18-74,NA,Code 9 Reasons,NA,95,3
201906,2019-06-01,S08000015,NA,18-74,NA,Health and Social Care Reasons,NA,739,25
201906,2019-06-01,S08000015,NA,18-74,NA,Patient and Family Related Reasons,NA,8,0
201906,2019-06-01,S08000015,NA,75plus,NA,All Delay Reasons,d,3375,113
201906,2019-06-01,S08000015,NA,75plus,NA,Code 9 Reasons,NA,472,16
201906,2019-06-01,S08000015,NA,75plus,NA,Health and Social Care Reasons,NA,2903,97
201906,2019-06-01,S08000015,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000016,NA,18plus,d,All Delay Reasons,d,1021,34
201906,2019-06-01,S08000016,NA,18plus,d,Code 9 Reasons,NA,99,3
201906,2019-06-01,S08000016,NA,18plus,d,Health and Social Care Reasons,NA,862,29
201906,2019-06-01,S08000016,NA,18plus,d,Patient and Family Related Reasons,NA,60,2
201906,2019-06-01,S08000016,NA,18-74,NA,All Delay Reasons,d,296,10
201906,2019-06-01,S08000016,NA,18-74,NA,Code 9 Reasons,NA,18,1
201906,2019-06-01,S08000016,NA,18-74,NA,Health and Social Care Reasons,NA,248,8
201906,2019-06-01,S08000016,NA,18-74,NA,Patient and Family Related Reasons,NA,30,1
201906,2019-06-01,S08000016,NA,75plus,NA,All Delay Reasons,d,725,24
201906,2019-06-01,S08000016,NA,75plus,NA,Code 9 Reasons,NA,81,3
201906,2019-06-01,S08000016,NA,75plus,NA,Health and Social Care Reasons,NA,614,20
201906,2019-06-01,S08000016,NA,75plus,NA,Patient and Family Related Reasons,NA,30,1
201906,2019-06-01,S08000017,NA,18plus,d,All Delay Reasons,d,1660,55
201906,2019-06-01,S08000017,NA,18plus,d,Code 9 Reasons,NA,223,7
201906,2019-06-01,S08000017,NA,18plus,d,Health and Social Care Reasons,NA,1379,46
201906,2019-06-01,S08000017,NA,18plus,d,Patient and Family Related Reasons,NA,58,2
201906,2019-06-01,S08000017,NA,18-74,NA,All Delay Reasons,d,439,15
201906,2019-06-01,S08000017,NA,18-74,NA,Code 9 Reasons,NA,83,3
201906,2019-06-01,S08000017,NA,18-74,NA,Health and Social Care Reasons,NA,336,11
201906,2019-06-01,S08000017,NA,18-74,NA,Patient and Family Related Reasons,NA,20,1
201906,2019-06-01,S08000017,NA,75plus,NA,All Delay Reasons,d,1221,41
201906,2019-06-01,S08000017,NA,75plus,NA,Code 9 Reasons,NA,140,5
201906,2019-06-01,S08000017,NA,75plus,NA,Health and Social Care Reasons,NA,1043,35
201906,2019-06-01,S08000017,NA,75plus,NA,Patient and Family Related Reasons,NA,38,1
201906,2019-06-01,S08000019,NA,18plus,d,All Delay Reasons,d,2819,94
201906,2019-06-01,S08000019,NA,18plus,d,Code 9 Reasons,NA,645,22
201906,2019-06-01,S08000019,NA,18plus,d,Health and Social Care Reasons,NA,2154,72
201906,2019-06-01,S08000019,NA,18plus,d,Patient and Family Related Reasons,NA,20,1
201906,2019-06-01,S08000019,NA,18-74,NA,All Delay Reasons,d,926,31
201906,2019-06-01,S08000019,NA,18-74,NA,Code 9 Reasons,NA,361,12
201906,2019-06-01,S08000019,NA,18-74,NA,Health and Social Care Reasons,NA,550,18
201906,2019-06-01,S08000019,NA,18-74,NA,Patient and Family Related Reasons,NA,15,1
201906,2019-06-01,S08000019,NA,75plus,NA,All Delay Reasons,d,1893,63
201906,2019-06-01,S08000019,NA,75plus,NA,Code 9 Reasons,NA,284,9
201906,2019-06-01,S08000019,NA,75plus,NA,Health and Social Care Reasons,NA,1604,53
201906,2019-06-01,S08000019,NA,75plus,NA,Patient and Family Related Reasons,NA,5,0
201906,2019-06-01,S08000020,NA,18plus,d,All Delay Reasons,d,2955,99
201906,2019-06-01,S08000020,NA,18plus,d,Code 9 Reasons,NA,444,15
201906,2019-06-01,S08000020,NA,18plus,d,Health and Social Care Reasons,NA,2475,83
201906,2019-06-01,S08000020,NA,18plus,d,Patient and Family Related Reasons,NA,36,1
201906,2019-06-01,S08000020,NA,18-74,NA,All Delay Reasons,d,762,25
201906,2019-06-01,S08000020,NA,18-74,NA,Code 9 Reasons,NA,224,7
201906,2019-06-01,S08000020,NA,18-74,NA,Health and Social Care Reasons,NA,517,17
201906,2019-06-01,S08000020,NA,18-74,NA,Patient and Family Related Reasons,NA,21,1
201906,2019-06-01,S08000020,NA,75plus,NA,All Delay Reasons,d,2193,73
201906,2019-06-01,S08000020,NA,75plus,NA,Code 9 Reasons,NA,220,7
201906,2019-06-01,S08000020,NA,75plus,NA,Health and Social Care Reasons,NA,1958,65
201906,2019-06-01,S08000020,NA,75plus,NA,Patient and Family Related Reasons,NA,15,1
201906,2019-06-01,S08000022,NA,18plus,d,All Delay Reasons,d,3902,130
201906,2019-06-01,S08000022,NA,18plus,d,Code 9 Reasons,NA,926,31
201906,2019-06-01,S08000022,NA,18plus,d,Health and Social Care Reasons,NA,2908,97
201906,2019-06-01,S08000022,NA,18plus,d,Patient and Family Related Reasons,NA,68,2
201906,2019-06-01,S08000022,NA,18-74,NA,All Delay Reasons,d,1142,38
201906,2019-06-01,S08000022,NA,18-74,NA,Code 9 Reasons,NA,402,13
201906,2019-06-01,S08000022,NA,18-74,NA,Health and Social Care Reasons,NA,721,24
201906,2019-06-01,S08000022,NA,18-74,NA,Patient and Family Related Reasons,NA,19,1
201906,2019-06-01,S08000022,NA,75plus,NA,All Delay Reasons,d,2760,92
201906,2019-06-01,S08000022,NA,75plus,NA,Code 9 Reasons,NA,524,17
201906,2019-06-01,S08000022,NA,75plus,NA,Health and Social Care Reasons,NA,2187,73
201906,2019-06-01,S08000022,NA,75plus,NA,Patient and Family Related Reasons,NA,49,2
201906,2019-06-01,S08000024,NA,18plus,d,All Delay Reasons,d,7552,252
201906,2019-06-01,S08000024,NA,18plus,d,Code 9 Reasons,NA,999,33
201906,2019-06-01,S08000024,NA,18plus,d,Health and Social Care Reasons,NA,6371,212
201906,2019-06-01,S08000024,NA,18plus,d,Patient and Family Related Reasons,NA,182,6
201906,2019-06-01,S08000024,NA,18-74,NA,All Delay Reasons,d,2432,81
201906,2019-06-01,S08000024,NA,18-74,NA,Code 9 Reasons,NA,429,14
201906,2019-06-01,S08000024,NA,18-74,NA,Health and Social Care Reasons,NA,1906,64
201906,2019-06-01,S08000024,NA,18-74,NA,Patient and Family Related Reasons,NA,97,3
201906,2019-06-01,S08000024,NA,75plus,NA,All Delay Reasons,d,5120,171
201906,2019-06-01,S08000024,NA,75plus,NA,Code 9 Reasons,NA,570,19
201906,2019-06-01,S08000024,NA,75plus,NA,Health and Social Care Reasons,NA,4465,149
201906,2019-06-01,S08000024,NA,75plus,NA,Patient and Family Related Reasons,NA,85,3
201906,2019-06-01,S08000025,NA,18plus,d,All Delay Reasons,d,1,0
201906,2019-06-01,S08000025,NA,18plus,d,Code 9 Reasons,NA,0,0
201906,2019-06-01,S08000025,NA,18plus,d,Health and Social Care Reasons,NA,1,0
201906,2019-06-01,S08000025,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000025,NA,18-74,NA,All Delay Reasons,d,0,0
201906,2019-06-01,S08000025,NA,18-74,NA,Code 9 Reasons,NA,0,0
201906,2019-06-01,S08000025,NA,18-74,NA,Health and Social Care Reasons,NA,0,0
201906,2019-06-01,S08000025,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000025,NA,75plus,NA,All Delay Reasons,d,1,0
201906,2019-06-01,S08000025,NA,75plus,NA,Code 9 Reasons,NA,0,0
201906,2019-06-01,S08000025,NA,75plus,NA,Health and Social Care Reasons,NA,1,0
201906,2019-06-01,S08000025,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000026,NA,18plus,d,All Delay Reasons,d,145,5
201906,2019-06-01,S08000026,NA,18plus,d,Code 9 Reasons,NA,3,0
201906,2019-06-01,S08000026,NA,18plus,d,Health and Social Care Reasons,NA,142,5
201906,2019-06-01,S08000026,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000026,NA,18-74,NA,All Delay Reasons,d,59,2
201906,2019-06-01,S08000026,NA,18-74,NA,Code 9 Reasons,NA,3,0
201906,2019-06-01,S08000026,NA,18-74,NA,Health and Social Care Reasons,NA,56,2
201906,2019-06-01,S08000026,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000026,NA,75plus,NA,All Delay Reasons,d,86,3
201906,2019-06-01,S08000026,NA,75plus,NA,Code 9 Reasons,NA,0,0
201906,2019-06-01,S08000026,NA,75plus,NA,Health and Social Care Reasons,NA,86,3
201906,2019-06-01,S08000026,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000028,NA,18plus,d,All Delay Reasons,d,565,19
201906,2019-06-01,S08000028,NA,18plus,d,Code 9 Reasons,NA,340,11
201906,2019-06-01,S08000028,NA,18plus,d,Health and Social Care Reasons,NA,225,8
201906,2019-06-01,S08000028,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000028,NA,18-74,NA,All Delay Reasons,d,152,5
201906,2019-06-01,S08000028,NA,18-74,NA,Code 9 Reasons,NA,60,2
201906,2019-06-01,S08000028,NA,18-74,NA,Health and Social Care Reasons,NA,92,3
201906,2019-06-01,S08000028,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000028,NA,75plus,NA,All Delay Reasons,d,413,14
201906,2019-06-01,S08000028,NA,75plus,NA,Code 9 Reasons,NA,280,9
201906,2019-06-01,S08000028,NA,75plus,NA,Health and Social Care Reasons,NA,133,4
201906,2019-06-01,S08000028,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000029,NA,18plus,d,All Delay Reasons,d,2958,99
201906,2019-06-01,S08000029,NA,18plus,d,Code 9 Reasons,NA,1019,34
201906,2019-06-01,S08000029,NA,18plus,d,Health and Social Care Reasons,NA,1913,64
201906,2019-06-01,S08000029,NA,18plus,d,Patient and Family Related Reasons,NA,26,1
201906,2019-06-01,S08000029,NA,18-74,NA,All Delay Reasons,d,1553,52
201906,2019-06-01,S08000029,NA,18-74,NA,Code 9 Reasons,NA,664,22
201906,2019-06-01,S08000029,NA,18-74,NA,Health and Social Care Reasons,NA,883,29
201906,2019-06-01,S08000029,NA,18-74,NA,Patient and Family Related Reasons,NA,6,0
201906,2019-06-01,S08000029,NA,75plus,NA,All Delay Reasons,d,1405,47
201906,2019-06-01,S08000029,NA,75plus,NA,Code 9 Reasons,NA,355,12
201906,2019-06-01,S08000029,NA,75plus,NA,Health and Social Care Reasons,NA,1030,34
201906,2019-06-01,S08000029,NA,75plus,NA,Patient and Family Related Reasons,NA,20,1
201906,2019-06-01,S08000030,NA,18plus,d,All Delay Reasons,d,2145,72
201906,2019-06-01,S08000030,NA,18plus,d,Code 9 Reasons,NA,678,23
201906,2019-06-01,S08000030,NA,18plus,d,Health and Social Care Reasons,NA,1437,48
201906,2019-06-01,S08000030,NA,18plus,d,Patient and Family Related Reasons,NA,30,1
201906,2019-06-01,S08000030,NA,18-74,NA,All Delay Reasons,d,895,30
201906,2019-06-01,S08000030,NA,18-74,NA,Code 9 Reasons,NA,530,18
201906,2019-06-01,S08000030,NA,18-74,NA,Health and Social Care Reasons,NA,365,12
201906,2019-06-01,S08000030,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201906,2019-06-01,S08000030,NA,75plus,NA,All Delay Reasons,d,1250,42
201906,2019-06-01,S08000030,NA,75plus,NA,Code 9 Reasons,NA,148,5
201906,2019-06-01,S08000030,NA,75plus,NA,Health and Social Care Reasons,NA,1072,36
201906,2019-06-01,S08000030,NA,75plus,NA,Patient and Family Related Reasons,NA,30,1
201906,2019-06-01,S08000031,NA,18plus,d,All Delay Reasons,d,5873,196
201906,2019-06-01,S08000031,NA,18plus,d,Code 9 Reasons,NA,1597,53
201906,2019-06-01,S08000031,NA,18plus,d,Health and Social Care Reasons,NA,4045,135
201906,2019-06-01,S08000031,NA,18plus,d,Patient and Family Related Reasons,NA,231,8
201906,2019-06-01,S08000031,NA,18-74,NA,All Delay Reasons,d,2606,87
201906,2019-06-01,S08000031,NA,18-74,NA,Code 9 Reasons,NA,1027,34
201906,2019-06-01,S08000031,NA,18-74,NA,Health and Social Care Reasons,NA,1488,50
201906,2019-06-01,S08000031,NA,18-74,NA,Patient and Family Related Reasons,NA,91,3
201906,2019-06-01,S08000031,NA,75plus,NA,All Delay Reasons,d,3267,109
201906,2019-06-01,S08000031,NA,75plus,NA,Code 9 Reasons,NA,570,19
201906,2019-06-01,S08000031,NA,75plus,NA,Health and Social Care Reasons,NA,2557,85
201906,2019-06-01,S08000031,NA,75plus,NA,Patient and Family Related Reasons,NA,140,5
